date,PD_transactions
2015-01-07,505377
2015-01-14,523019
2015-01-21,532089
2015-01-28,427247
2015-02-04,625211
2015-02-11,556415
2015-02-18,516573
2015-02-25,464698
2015-03-04,591567
2015-03-11,516213
2015-03-18,450839
2015-03-25,471628
2015-04-01,527943
2015-04-08,348345
2015-04-15,370272
2015-04-22,348043
2015-04-29,504887
2015-05-06,498650
2015-05-13,541759
2015-05-20,466279
2015-05-27,449855
2015-06-03,607432
2015-06-10,500879
2015-06-17,412889
2015-06-24,444957
2015-07-01,520582
2015-07-08,486122
2015-07-15,428399
2015-07-22,385685
2015-07-29,426870
2015-08-05,517132
2015-08-12,436855
2015-08-19,434952
2015-08-26,586459
2015-09-02,560782
2015-09-09,449134
2015-09-16,430468
2015-09-23,469378
2015-09-30,509355
2015-10-07,454976
2015-10-14,418021
2015-10-21,387559
2015-10-28,427943
2015-11-04,616049
2015-11-11,594742
2015-11-18,456715
2015-11-25,425277
2015-12-02,461786
2015-12-09,502026
2015-12-16,470268
2015-12-23,316428
2015-12-30,331560
2016-01-06,502100
2016-01-13,558478
2016-01-20,554527
2016-01-27,491287
2016-02-03,579995
2016-02-10,558663
2016-02-17,573603
2016-02-24,522159
2016-03-02,622767
2016-03-09,482673
2016-03-16,448994
2016-03-23,393501
2016-03-30,491527
2016-04-06,456200
2016-04-13,405537
2016-04-20,382711
2016-04-27,470933
2016-05-04,452144
2016-05-11,444806
2016-05-18,473095
2016-05-25,444938
2016-06-01,550239
2016-06-08,473116
2016-06-15,436474
2016-06-22,495499
2016-06-29,564148
2016-07-06,511223
2016-07-13,498785
2016-07-20,419727
2016-07-27,472425
2016-08-03,510055
2016-08-10,460205
2016-08-17,455742
2016-08-24,418538
2016-08-31,525021
2016-09-07,459086
2016-09-14,552482
2016-09-21,422284
2016-09-28,520750
2016-10-05,558970
2016-10-12,530384
2016-10-19,479609
2016-10-26,443478
2016-11-02,555369
2016-11-09,541336
2016-11-16,774636
2016-11-23,620901
2016-11-30,584263
2016-12-07,521244
2016-12-14,528507
2016-12-21,443809
2016-12-28,348295
2017-01-04,537583
2017-01-11,485097
2017-01-18,504787
2017-01-25,529970
2017-02-01,582170
2017-02-08,522638
2017-02-15,489849
2017-02-22,490229
2017-03-01,604130
2017-03-08,512480
2017-03-15,512636
2017-03-22,425180
2017-03-29,503190
2017-04-05,535876
2017-04-12,470728
2017-04-19,409937
2017-04-26,487185
2017-05-03,521174
2017-05-10,453553
2017-05-17,512904
2017-05-24,528050
2017-05-31,530394
2017-06-07,444207
2017-06-14,504764
2017-06-21,463983
2017-06-28,537517
2017-07-05,506631
2017-07-12,418563
2017-07-19,398904
2017-07-26,414057
2017-08-02,500682
2017-08-09,406459
2017-08-16,448039
2017-08-23,367569
2017-08-30,493826
2017-09-06,527161
2017-09-13,495908
2017-09-20,436114
2017-09-27,493233
2017-10-04,543955
2017-10-11,434558
2017-10-18,422263
2017-10-25,494958
2017-11-01,559710
2017-11-08,451485
2017-11-15,501039
2017-11-22,426100
2017-11-29,525829
2017-12-06,537571
2017-12-13,494867
2017-12-20,459143
2017-12-27,370545
2018-01-03,491766
2018-01-10,493085
2018-01-17,520810
2018-01-24,550241
2018-01-31,620077
2018-02-07,725241
2018-02-14,674681
2018-02-21,572729
2018-02-28,612161
2018-03-07,532235
2018-03-14,504256
2018-03-21,451150
2018-03-28,591072
2018-04-04,492299
2018-04-11,440100
2018-04-18,432714
2018-04-25,556314
2018-05-02,537792
2018-05-09,429963
2018-05-16,523642
2018-05-23,524751
2018-05-30,682552
2018-06-06,554205
2018-06-13,486785
2018-06-20,454083
2018-06-27,460293
2018-07-04,528410
2018-07-11,398802
2018-07-18,402314
2018-07-25,463919
2018-08-01,519340
2018-08-08,408365
2018-08-15,504178
2018-08-22,396424
2018-08-29,486166
2018-09-05,554756
2018-09-12,499991
2018-09-19,486342
2018-09-26,528290
2018-10-03,559234
2018-10-10,594670
2018-10-17,485683
2018-10-24,534260
2018-10-31,599418
2018-11-07,541907
2018-11-14,526206
2018-11-21,510575
2018-11-28,567005
2018-12-05,732732
2018-12-12,709115
2018-12-19,529791
2018-12-26,488429
2019-01-02,577184
2019-01-09,664404
2019-01-16,531689
2019-01-23,519298
2019-01-30,590177
2019-02-06,671960
2019-02-13,528265
2019-02-20,503068
2019-02-27,688380
2019-03-06,656994
2019-03-13,557903
2019-03-20,484233
2019-03-27,691326
2019-04-03,672677
2019-04-10,460717
2019-04-17,490430
2019-04-24,495989
2019-05-01,558567
2019-05-08,519844
2019-05-15,573739
2019-05-22,480543
2019-05-29,681575
2019-06-05,756405
2019-06-12,618586
2019-06-19,513594
2019-06-26,637398
2019-07-03,557839
2019-07-10,548551
2019-07-17,468464
2019-07-24,466371
2019-07-31,558148
2019-08-07,734936
2019-08-14,602775
2019-08-21,529310
2019-08-28,567720
2019-09-04,696093
2019-09-11,636971
2019-09-18,608043
2019-09-25,624003
2019-10-02,627482
2019-10-09,525219
2019-10-16,559909
2019-10-23,453621
2019-10-30,521183
2019-11-06,630555
2019-11-13,600626
2019-11-20,495190
2019-11-27,606539
2019-12-04,585102
2019-12-11,532241
2019-12-18,485579
2019-12-25,417140
2020-01-01,375491
2020-01-08,610940
2020-01-15,471652
2020-01-22,494217
2020-01-29,604635
2020-02-05,667441
2020-02-12,527477
2020-02-19,574108
2020-02-26,723877
2020-03-04,1025462
2020-03-11,869170
2020-03-18,770507
2020-03-25,848008
2020-04-01,899245
2020-04-08,788733
2020-04-15,625074
2020-04-22,542060
2020-04-29,615146
2020-05-06,616185
2020-05-13,605913
2020-05-20,569084
2020-05-27,642818
2020-06-03,721096
2020-06-10,651849
2020-06-17,548895
2020-06-24,502203
2020-07-01,583874
2020-07-08,488877
2020-07-15,424133
2020-07-22,381845
2020-07-29,482400
2020-08-05,499722
2020-08-12,460083
2020-08-19,488112
2020-08-26,526836
2020-09-02,609286
2020-09-09,552061
2020-09-16,463957
2020-09-23,500276
2020-09-30,548160
2020-10-07,558945
2020-10-14,466686
2020-10-21,418164
2020-10-28,469992
2020-11-04,620621
2020-11-11,598566
2020-11-18,595625
2020-11-25,597437
2020-12-02,595948
2020-12-09,500235
2020-12-16,484334
2020-12-23,429750
2020-12-30,534342
2021-01-06,604624
2021-01-13,664589
2021-01-20,573594
2021-01-27,649426
2021-02-03,678389
2021-02-10,566248
2021-02-17,642875
2021-02-24,713750
2021-03-03,922682
2021-03-10,633778
2021-03-17,559534
2021-03-24,611396
2021-03-31,653172
2021-04-07,427365
2021-04-14,520351
2021-04-21,509051
2021-04-28,559498
2021-05-05,559120
2021-05-12,533900
2021-05-19,585022
2021-05-26,583306
2021-06-02,701855
2021-06-09,541852
2021-06-16,554728
2021-06-23,721355
2021-06-30,624782
2021-07-07,482711
2021-07-14,536654
2021-07-21,540907
2021-07-28,517550
2021-08-04,593409
2021-08-11,566421
2021-08-18,544904
2021-08-25,521795
2021-09-01,612564
2021-09-08,506417
2021-09-15,484121
2021-09-22,473605
2021-09-29,740142
2021-10-06,609508
2021-10-13,684222
2021-10-20,624351
2021-10-27,628863
2021-11-03,820911
2021-11-10,660303
2021-11-17,634760
2021-11-24,714009
2021-12-01,746593
2021-12-08,624449
2021-12-15,527687
2021-12-22,484888
