Record Date,Bills,Notes,Bonds,All
2021-11-30,3.7860963273999997,12.854561256999999,3.43352532765,20.07418291205
2021-10-31,3.8521059434000002,12.6461644239,3.37336036695,19.87163073425
2021-09-30,3.7141185683,12.5789410997,3.34755548905,19.64061515705
2021-08-31,4.0381127478,12.411912973200002,3.29410964765,19.74413536865
2021-07-31,4.1421266849,12.1850258327,3.20787953015,19.53503204775
2021-06-30,4.2750919676,12.1063515556,3.17992858705,19.561372110250005
2021-05-31,4.3770776849,11.8303549449,3.09383908715,19.301271716949998
2021-04-30,4.5400504092,11.7833041551,3.06258224235,19.385936806649998
2021-03-31,4.6690385121,11.5972170102,3.00631452555,19.27257004785
2021-02-28,4.859032850599999,11.312275940400001,2.91966838995,19.090977180950002
2021-01-31,4.9549501575,11.1727617718,2.8657054896,18.9934174189
2020-12-31,4.9641398545,11.091924194299999,2.8392929035,18.8953569523
2020-11-30,4.9436635075,10.9191358752,2.7866192894,18.6494186721
2020-10-31,4.985339527200001,10.7292016322,2.697136165,18.4116773244
2020-09-30,5.0289076508,10.663763656099999,2.6734927924500003,18.366164099349998
2020-08-31,5.0767214434,10.524031862700001,2.62453539575,18.22528870185
2020-07-31,5.0789409177,10.4276288625,2.57295932675,18.07952910695
2020-06-30,5.0796260736,10.3144649741,2.53336064365,17.927451691349997
2020-05-31,4.629918641,10.176713185699999,2.47266568055,17.27929750725
2020-04-30,4.001773206,10.1637266956,2.44661312005,16.61211302165
2020-03-31,2.6574393487,10.0924974356,2.42955718935,15.179493973649999
2020-02-29,2.5645831002,9.994275028799999,2.41354204825,14.972400177250002
2020-01-31,2.4042907659,9.9987359517,2.39556884385,14.798595561449998
2019-12-31,2.416864223,9.92923059729999,2.3790572348500003,14.72515205514999
2019-11-30,2.5151280787999997,9.830428808299999,2.36305842575,14.70861531285
2019-10-31,2.4560753764,9.8349452884,2.33506478705,14.626085451849999
2019-09-30,2.3769579278000004,9.76278376379999,2.31906498825,14.45880667984999
2019-08-31,2.3319151312,9.6564221656,2.30306720205,14.291404498850001
2019-07-31,2.205896846,9.64222113739999,2.29060963825,14.138727621649991
2019-06-30,2.2509338631,9.5544166458,2.27447364285,14.07982415175
2019-05-31,2.3539462359,9.51639211219999,2.2584740521,14.12881240019999
2019-04-30,2.3839931211,9.49138868729999,2.2330015642,14.10838337259999
2019-03-31,2.4800351888,9.4142698447,2.2169996079,14.111304641399999
2019-02-28,2.3960419429,9.37627107659999,2.2009998031999998,13.97331282269999
2019-01-31,2.2990648784,9.355849737500002,2.1905157075,13.8454303234
2018-12-31,2.3399925847,9.297047496500001,2.1745211348,13.811561216
2018-11-30,2.3891000968,9.2404336325,2.1585211729,13.7880549022
2018-10-31,2.2580014007,9.2182101813,2.1428222643,13.619033846299999
2018-09-30,2.2399362821,9.1543796796,2.1278225328,13.5221384945
2018-08-31,2.3409230734,9.120380495200001,2.1128225747,13.574126143300001
2018-07-31,2.2058960077,9.0949409371,2.0924078692,13.393244814
2018-06-30,2.1579807514,9.0321963167,2.0783545502,13.2685316183
2018-05-31,2.1839821355,9.002197342399999,2.0643546624,13.250534140299997
2018-04-30,2.1689869803999997,8.9742194869,2.0499739426,13.1931804099
2018-03-31,2.2889689573,8.9245553232,2.0369517793000003,13.2504760598
2018-02-28,2.0779663355,8.8995565108,2.0239518172,13.0014746635
2018-01-31,1.9669393541000002,8.88917520159999,2.004929724,12.861044279699989
2017-12-31,1.9559325583,8.849743682,1.9925240613,12.7982003016
2017-11-30,1.9709099183,8.8307446209,1.980525011,12.7821795502
2017-10-31,1.8559287075,8.8301326074,1.9637039483,12.649765263199999
2017-09-30,1.8019362261999998,8.805498704799989,1.9517048064,12.559139737399988
2017-08-31,1.7479224150000001,8.788504888,1.9397050102,12.476132313199999
2017-07-31,1.7579565041,8.7823100219,1.9311602356,12.4714267616
2017-06-30,1.7179580642999999,8.758317013800001,1.9188868992,12.3951619773
2017-05-31,1.747958689,8.7358690551,1.9068874027,12.390715146799998
2017-04-30,1.7419908498,8.716710576199999,1.9024960869,12.361197512899999
2017-03-31,1.7569603962,8.7023736253,1.8903975338,12.3497315553
2017-02-28,1.7529629443,8.68463542449999,1.8783978816,12.31599625039999
2017-01-31,1.761978809,8.6784802028,1.8616661989,12.3021252107
2016-12-31,1.81796328,8.6590175005,1.849001396,12.325982176499998
2016-11-30,1.8729544948,8.64504267889999,1.8370015194,12.35499869309999
2016-10-31,1.7529487931999999,8.6412280458,1.8375053466,12.231682185599999
2016-09-30,1.6469640462,8.6309924818,1.8255070457,12.1034635737
2016-08-31,1.6329488173,8.619230917500001,1.8135072034,12.0656869382
2016-07-31,1.5499323031999999,8.621472276299992,1.7969713829,11.968375962399989
2016-06-30,1.5079470490000002,8.6066073399,1.7841918013,11.8987461902
2016-05-31,1.5239569109,8.587680429199999,1.77219676565,11.883834105750001
2016-04-30,1.5269559099,8.555483260699988,1.77261795825,11.855057128849989
2016-03-31,1.6179595922999999,8.5431996816,1.76053960255,11.92169887645
2016-02-29,1.5519471178,8.515939109,1.74854152855,11.816427755349997
2016-01-31,1.4779337184999999,8.4698293416,1.73779695385,11.685560013949999
2015-12-31,1.5139572205999998,8.4568309907,1.72480216825,11.695590379550001
2015-11-30,1.505974838,8.422584715800001,1.71180250145,11.64036205525
2015-10-31,1.2729979737,8.3856572974,1.70130488065,11.35996015175
2015-09-30,1.3579970004,8.372656876,1.68830520595,11.418959082349998
2015-08-31,1.4239750643,8.3387586069,1.6753060414,11.4380397126
2015-07-31,1.4399887150000001,8.3351452591,1.6630073256000002,11.438141299700002
2015-06-30,1.3949914999,8.3053792065,1.6500073415,11.3503780479
2015-05-31,1.4469583383,8.2646347447,1.6370076939999998,11.348600777000001
2015-04-30,1.4329346255000002,8.284023459,1.6206460121500001,11.33760409665
2015-03-31,1.4778995856000001,8.264432881699989,1.6076469683499999,11.349979435649992
2015-02-28,1.4728877399,8.23011539299999,1.5946482240500002,11.297651356949991
2015-01-31,1.4128869066999998,8.23991454699999,1.58916525815,11.24196671184999
2014-12-31,1.4578850944000001,8.22918612369999,1.57616579205,11.263237010149991
2014-11-30,1.4399220847,8.18986261909999,1.56316578605,11.19295048984999
2014-10-31,1.413945199,8.19971798289999,1.54714440135,11.16080758324999
2014-09-30,1.4109800165,8.16775862489999,1.5341444408499998,11.112883082249992
2014-08-31,1.4519976675,8.11663399599999,1.5211444349499998,11.08977609844999
2014-07-31,1.4099865554,8.12333676319999,1.50514455265,11.038467871249988
2014-06-30,1.3879864894999998,8.089288381699989,1.49214758545,10.969422456649989
2014-05-31,1.4489841529,8.02785292869999,1.47914764885,10.95598473044999
2014-04-30,1.4589705999,8.03416125559999,1.4631525181499998,10.95628437364999
2014-03-31,1.6519685286,7.99289259679999,1.4501525869499998,11.09501371234999
2014-02-28,1.6139721987,7.94933419539999,1.4371525759000001,11.00045896999999
2014-01-31,1.4859766554,7.92909341709999,1.4211529401,10.836223012599989
2013-12-31,1.5919516288,7.88173376729999,1.4081529380000002,10.881838334099989
2013-11-30,1.6209556969999999,7.80178521409999,1.3951532433,10.81789415439999
2013-10-31,1.5449615736,7.811275295900001,1.3791582344,10.7353951039
2013-09-30,1.5299717638,7.7579507977,1.3661582706,10.6540808321
2013-08-31,1.637964141,7.666524916799999,1.3531583519,10.657647409700001
2013-07-31,1.5559577714,7.680082456899999,1.3371595360000001,10.5731997643
2013-06-30,1.5699497052,7.5817191189,1.3241604598,10.4758292839
2013-05-31,1.6069398532,7.5649292488,1.3111605785,10.483029680500001
2013-04-30,1.6949493496999999,7.5279699528,1.2951606830500002,10.518079985550001
2013-03-31,1.7909522896,7.4349881756,1.2821608287500001,10.508101293949998
2013-02-28,1.7419500838,7.422461607300001,1.26916087025,10.43357256135
2013-01-31,1.6079479669,7.386165108699999,1.25316111175,10.24727418735
2012-12-31,1.628970579,7.327115496799999,1.24016113605,10.19624721185
2012-11-30,1.6949892453000002,7.267744767,1.2271621782500002,10.18989619055
2012-10-31,1.6220046351000001,7.2281685763,1.21116720545,10.061340416850001
2012-09-30,1.6160088097999998,7.1207051073,1.19816729445,9.934881211550001
2012-08-31,1.6630054136999999,7.105788544,1.1851721172499998,9.953966074949998
2012-07-31,1.5809922901000002,7.0671506114,1.16917193965,9.81731484115
2012-06-30,1.5964018578999999,6.9628793243,1.1561722096,9.715453391799999
2012-05-31,1.6054209405,6.9415073612,1.14225446815,9.689182769850001
2012-04-30,1.613425568,6.8833488926,1.12525347255,9.622027933150001
2012-03-31,1.6744353526000002,6.7764842499,1.1098880362499999,9.560807638750001
2012-02-29,1.6104161175,6.754414977900001,1.09598537815,9.460816473549999
2012-01-31,1.5254456916,6.7113162653,1.07803459035,9.314796547250001
2011-12-31,1.5205172592,6.6050557671,1.06411232805,9.18968535435
2011-11-30,1.5124779716,6.5789578158,1.05063675495,9.14207254235
2011-10-31,1.4825028165,6.5069921827999995,1.03341264595,9.02290764525
2011-09-30,1.4775052662,6.4124934748,1.02041285405,8.91041159505
2011-08-31,1.4935099843,6.3186739828,1.00741389525,8.81959786235
2011-07-31,1.4924967899,6.2042635055,0.99092414635,8.687684441750001
2011-06-30,1.531494871,6.1512643033,0.9779242478,8.6606834221
2011-05-31,1.5785048412,6.0547397154,0.9649288471999999,8.598173403799999
2011-04-30,1.6384925634,5.903480348,0.9489289523,8.490901863700001
2011-03-31,1.6985008335,5.8478712418,0.9352891711,8.4816612464
2011-02-28,1.7385151597,5.750826641300001,0.9222905085,8.4116323095
2011-01-31,1.7605441584000001,5.6721837712,0.9059245037,8.3386524333
2010-12-31,1.7725278812,5.5717485499,0.8926396369,8.236916068
2010-11-30,1.7754560445,5.467787962,0.8794507691000001,8.1226947756
2010-10-31,1.7684602339000002,5.296344600399999,0.86302190755,7.92782674185
2010-09-30,1.7884529037999999,5.2558856088,0.8499075872499999,7.894246099849999
2010-08-31,1.8255182359,5.148300181300001,0.8367673683,7.8105857855
2010-07-31,1.7905033211,4.9813898133,0.81980923395,7.59170236835
2010-06-30,1.7825255611000002,4.9383760173,0.80680573285,7.527707311250001
2010-05-31,1.8555178015,4.7340011391,0.79373141425,7.38325035485
2010-04-30,1.847529914,4.7042825508,0.7763374655499999,7.32814993035
2010-03-31,1.8434781791000001,4.5660568075,0.7623859681499999,7.171920954750001
2010-02-28,1.7364553439,4.3373372712,0.7492322905500001,6.8230249056500005
2010-01-31,1.68945268,4.2294700553,0.73143574275,6.65035847805
2009-12-31,1.7934804983000001,4.1811079899,0.71793118025,6.69251966845
2009-11-30,1.8504994236999999,4.0397758967,0.70486187175,6.595137192149999
2009-10-31,1.8585067151999999,3.8182237377,0.69188765865,6.368618111549999
2009-09-30,1.9925079059,3.7737672078999998,0.67980003835,6.44607515215
2009-08-31,2.0684944820999998,3.6386349734,0.66777620325,6.37490565875
2009-07-31,2.0204838473,3.5474823391,0.6548453634,6.2228115498
2009-06-30,2.0064628656,3.4177401155,0.6436603125999999,6.067863293699999
2009-05-31,2.0654013323,3.2113029045,0.6325459337,5.9092501705
2009-04-30,1.99453333,3.2044515904,0.6205482671000001,5.8195331875
2009-03-31,2.033565516,3.0848871901,0.6205484362999999,5.7390011424
2009-02-28,1.9855670542,2.8919611991,0.609353172,5.4868814253
2009-01-31,1.7985627548,2.8260093365000003,0.594640862,5.2192129533000005
2008-12-31,1.866666324,2.792206332,0.594641143,5.253513798999999
2008-11-30,2.0037059192999997,2.6748803123,0.5946416770999999,5.273227908699999
2008-10-31,1.9097356562999999,2.6866043240999997,0.5828703733,5.1792103537
2008-09-30,1.4898082462,2.6247590767,0.5828715363,4.6974388592
2008-08-31,1.227192348,2.5564384783,0.5828741345,4.3665049607999995
2008-07-31,1.1357859504,2.5747530783,0.5810577681,4.2915967968
2008-06-30,1.0604568025,2.5434415795999996,0.5810588715999999,4.1849572537
2008-05-31,1.1192454436000001,2.4765844307,0.5810592056,4.1768890799000005
2008-04-30,1.0257162554,2.5407451899,0.5718289219,4.138290367200001
2008-03-31,1.158388046,2.5140870995999998,0.5718295994,4.244304745
2008-02-29,1.1253927830000001,2.4783667366,0.5718304004,4.17558992
2008-01-31,0.984387575,2.5039491076,0.5585367783999999,4.046873461000001
2007-12-31,1.003874672,2.4884866706,0.5585378349,4.0508991775
2007-11-30,1.035049336,2.4650001705999998,0.5585417229,4.0585912295
2007-10-31,0.9380727219999999,2.4821138316,0.56109760295,3.9812841565500006
2007-09-30,0.958081267,2.4580386506,0.56109815045,3.97721806805
2007-08-31,1.014066795,2.4500411676,0.5610986574500001,4.02520662005
2007-07-31,0.892068285,2.4940595736,0.54725357695,3.93338143555
2007-06-30,0.8690515999999999,2.4709757566,0.54725526195,3.8872826185499996
2007-05-31,0.9190789420000001,2.4629774006,0.5472566250500001,3.92931296765
2007-04-30,0.94408687,2.4827198646,0.54049414715,3.9673008817500004
2007-03-31,1.033096039,2.4684901816,0.54049505715,4.0420812777499995
2007-02-28,0.982088789,2.4604907436000003,0.54049694915,3.9830764817500004
2007-01-31,0.93207537,2.4597400856,0.53067582065,3.92249127625
2006-12-31,0.944223529,2.4418599776,0.5306820331500001,3.91676553975
2006-11-30,0.989036222,2.4338621746,0.53069437015,3.95359276675
2006-10-31,0.92951657,2.4443851066,0.53470911125,3.90861078785
2006-09-30,0.911530573,2.4471601606,0.5347098843,3.8934006179
2006-08-31,0.962312918,2.4391627886,0.5347107858,3.9361864924
2006-07-31,0.9326937519999999,2.4169033846,0.5231556359,3.8727527725
2006-06-30,0.916706523,2.4273972486,0.5231570324,3.867260804
2006-05-31,0.954441122,2.4079855965999997,0.5231659094,3.8855926279999995
2006-04-30,0.965107248,2.4097398586,0.5267017563999999,3.901548863
2006-03-31,1.042049982,2.4097468046,0.5267036596,3.9785004461999995
2006-02-28,0.9995611280000001,2.3917419826,0.5267164827,3.9180195933000004
2006-01-31,0.9562498220000001,2.3611024306,0.5166188042000001,3.8339710568000003
2005-12-31,0.9638668149999999,2.3607934706,0.5166209987,3.8412812843
2005-11-30,0.9869341189999999,2.3397950246000003,0.516627001,3.8433561446000004
2005-10-31,0.936595964,2.335971607,0.5207017627,3.7932693336999996
2005-09-30,0.914264564,2.328787471,0.520703464,3.763755499
2005-08-31,0.953251788,2.312738374,0.520707874,3.7866980359999993
2005-07-31,0.942243129,2.286060453,0.529976188,3.7582797700000006
2005-06-30,0.923403106,2.273061223,0.52998186935,3.72644619835
2005-05-31,0.961296432,2.256096897,0.530068879,3.7474622079999995
2005-04-30,0.991316328,2.2416696039999997,0.537225201,3.770211133
2005-03-31,1.059100998,2.2266706660000004,0.5372286398,3.8230003037999998
2005-02-28,1.0308589080000001,2.2058726579999997,0.537234023,3.773965589
2005-01-31,0.9868386219999999,2.167317133,0.539542722,3.693698477
2004-12-31,1.003172169,2.157121051,0.5395471430000001,3.699840363
2004-11-30,1.03075995,2.134371565,0.539555232,3.7046867469999993
2004-10-31,0.981947958,2.124563583,0.552042778,3.6585543190000003
2004-09-30,0.9614796019999999,2.1095581716,0.5520448164,3.6230825899999997
2004-08-31,0.976762666,2.0885537626,0.552050257,3.6173666856000004
2004-07-31,0.962544565,2.0672657196,0.5560563862,3.5858666707999998
2004-06-30,0.9467893129999999,2.0522641266,0.5560637343,3.5551171739000003
2004-05-31,0.9580815420000001,2.0307027866,0.5560744418,3.5448587704000003
2004-04-30,0.933426273,2.0011479306,0.5644010307999999,3.4989752344
2004-03-31,0.984970557,1.9834655209999998,0.5644027469999999,3.532838825
2004-02-29,0.958194608,1.952743158,0.564406535,3.475344301
2004-01-31,0.907871371,1.9217793866000001,0.5644121290499999,3.3940628866500004
2003-12-31,0.9287988739999999,1.9057723640000002,0.5644182240000001,3.398989462
2003-11-30,0.9547534889999999,1.867417152,0.5644312610000001,3.3866019019999998
2003-10-31,0.943920686,1.822687021,0.576895964,3.343503671
2003-09-30,0.918227082,1.7994708346,0.57690022835,3.29459814495
2003-08-31,0.9616735820000001,1.749677605,0.576910422,3.288261609
2003-07-31,0.9370434740000001,1.72775597,0.5825039449999999,3.247303389
2003-06-30,0.927788197,1.7137615460000002,0.5825069270000001,3.2240566700000004
2003-05-31,0.91078574,1.6903003357,0.5825105045000001,3.1835965801999997
2003-04-30,0.9299006040000001,1.6313169220000001,0.585746359,3.1469638850000003
2003-03-31,0.9550489590000001,1.622935571,0.585750272,3.163734802
2003-02-28,0.9187945359999999,1.61657231,0.585755637,3.121122483
2003-01-31,0.869342788,1.5861696980000002,0.5887554549999999,3.044267941
2002-12-31,0.888764824,1.5808864059999999,0.5887602900000001,3.05841152
2002-11-30,0.901443574,1.5688639469999999,0.588774865,3.059082386
2002-10-31,0.8818671629999999,1.527441233,0.5929989370000001,3.0023073329999996
2002-09-30,0.868249933,1.521596664,0.593004801,2.982851398
2002-08-31,0.8907295940000001,1.5081529029999998,0.593008709,2.991891206
2002-07-31,0.862277307,1.486957849,0.593011709,2.9422468650000004
2002-06-30,0.82247241,1.474321693,0.59301429,2.889808393
2002-05-31,0.816130063,1.474328919,0.5930154029,2.8834743849
2002-04-30,0.793503045,1.4453770227,0.5930199213,2.831899989
2002-03-31,0.834409034,1.443249603,0.596784471,2.874443108
2002-02-28,0.8332441970000001,1.443245,0.5968239179999999,2.873313115
2002-01-31,0.792726918,1.4119021040000002,0.6027300879999999,2.8073591099999997
2001-12-31,0.811246363,1.413959037,0.602731181,2.827936581
2001-11-30,0.8133949699999999,1.4154613870000001,0.6070182879999999,2.8358746449999996
2001-10-31,0.7362509840000001,1.419628131,0.610482116,2.7663612310000003
2001-09-30,0.73488809,1.432956767,0.612988895,2.780833752
2001-08-31,0.732618549,1.432961156,0.6130011550000001,2.7785808600000004
2001-07-31,0.653081225,1.437088666,0.61270316,2.702873051
2001-06-30,0.620080561,1.474374456,0.616955562,2.711410579
2001-05-31,0.61849733,1.4743770079999998,0.6187230159999999,2.711597354
2001-04-30,0.619111623,1.492283394,0.622957073,2.73435209
2001-03-31,0.712032108,1.53486853,0.6279690990000001,2.874869737
2001-02-28,0.680658697,1.534891031,0.631482706,2.8470324340000004
2001-01-31,0.656148477,1.555058155,0.6238294790000001,2.8350361110000004
